hola,hola en que te podemos ayudar
hola,hola en que te podemos ayudar
buenas tardes, hola buenas tardes en que te podemos ayudar.
como compro algo pues?, solo debes agregar tus productos al carrito luego ir al carrito de compras y darle en finalizar compra para empezar el proceso de pago.
y que pasa si no tengo dinero?, si eso llega a pasar. si tu te encuentras fuera de tu casa en el momento de entrega la empresa dejara tu pedido en un punto de reparto cercano.
hola,hola en que te podemos ayudar
cuanto se demora mi pedido?, NO. solo vendemos las cantidades en inventario que tenemos en nuestra plataforma
cuando entregan mi pedido?, si eso llega a pasar. si tu te encuentras fuera de tu casa en el momento de entrega la empresa dejara tu pedido en un punto de reparto cercano.
hola buenas tardes, hola buenas tardes en que te podemos ayudar.
hola buenas noches,hola en que te podemos ayudar
hola,hola en que te podemos ayudar
hola,hola en que te podemos ayudar
hola,hola en que te podemos ayudar
como estas?, para hacer un pedido solo debes agregar el producto al carrito de compras y darle click al boton pagar.
como puedo comprar algo?, solo debes agregar tus productos al carrito luego ir al carrito de compras y darle en finalizar compra para empezar el proceso de pago.
¿cuanto es el valor del envio a mi ciudad?, cada ciudad tiene un valor que estara en la factura que te muestra a la hora de cancelar el producto. Intenta generar un pago y podras ver esos precios segun tu ciudad.
